parcelid,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedbathnbr,calculatedfinishedsquarefeet,finishedsquarefeet12,fips,fullbathcnt,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,propertylandusetypeid,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,unitcnt,yearbuilt,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,propertyzoningdesc_labels,yeardifference
10754147,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34144442,-118654084,85768.0,269,60378002.041,37688.0,3101,118208.0,96337.0,0.0,1.0,1950.0,100000.0,9.0,2015,9.0,650.15,318,65.0
10759547,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34140430,-118625364,4083.0,261,60378001.011002,37688.0,3101,118208.0,96337.0,0.0,1.0,1950.0,100000.0,27516.0,2015,27516.0,650.15,375,65.0
10843547,0.0,0.0,7.0,2.0,73026.0,1440.0,6037,2.0,2.0,33989359,-118394633,63085.0,47,60377030.012017,51617.0,3101,118208.0,96095.0,0.0,2.0,1950.0,650756.0,1413387.0,2015,762631.0,20800.37,304,65.0
10859147,0.0,0.0,7.0,2.0,5068.0,1440.0,6037,2.0,2.0,34148863,-118437206,7521.0,47,60371412.023001,12447.0,3101,27080.0,96424.0,0.0,1.0,1948.0,571346.0,1156834.0,2015,585488.0,14557.57,304,67.0
10879947,0.0,0.0,7.0,2.0,1776.0,1440.0,6037,2.0,2.0,34194168,-118385816,8512.0,31,60371232.052003,12447.0,3101,46795.0,96450.0,0.0,1.0,1947.0,193796.0,433491.0,2015,239695.0,5725.17,313,68.0
10898347,0.0,0.0,7.0,2.0,2400.0,1440.0,6037,2.0,2.0,34171873,-118380906,2500.0,31,60371252.001,12447.0,3101,46795.0,96446.0,0.0,1.0,1943.0,176383.0,283315.0,2015,106932.0,3661.28,306,72.0
10933547,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34131929,-118351474,6000.0,260,60371437.00101,12447.0,3101,274049.0,96049.0,0.0,1.0,1950.0,397945.0,554573.0,2015,156628.0,6773.34,304,65.0
10940747,0.0,0.0,7.0,2.0,3611.0,1440.0,6037,2.0,2.0,34171345,-118314900,5333.0,31,60373108.003004,396054.0,3101,118208.0,96434.0,0.0,1.0,1946.0,101998.0,688486.0,2015,586488.0,7857.84,89,69.0
10954547,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34218210,-118331311,145865.0,269,60373101.003001,396054.0,3101,118208.0,96436.0,0.0,1.0,1950.0,100000.0,9.0,2015,9.0,650.15,92,65.0
10976347,0.0,0.0,7.0,2.0,3754.0,1440.0,6037,2.0,2.0,34289776,-118432085,7494.0,31,60373202.023005,47547.0,3101,118208.0,96366.0,0.0,1.0,1978.0,218440.0,261201.0,2015,42761.0,4054.76,868,37.0
11073947,0.0,0.0,7.0,2.0,2470.0,1440.0,6037,2.0,2.0,34265214,-118520217,3423.0,47,60371112.022021,12447.0,3101,31817.0,96370.0,0.0,1.0,1958.0,245834.0,430208.0,2015,184374.0,6014.18,304,57.0
11114347,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34447747,-118565056,81293.0,269,60379201.081013,12447.0,3101,118208.0,96377.0,0.0,1.0,1950.0,100000.0,9.0,2015,9.0,650.15,840,65.0
11116947,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34465048,-118568166,6286.0,269,60379201.071002,12447.0,3101,118208.0,96377.0,0.0,1.0,1950.0,100000.0,171200.0,2015,171200.0,4690.68,403,65.0
11142747,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34416889,-118505805,6000.0,266,60379203.142,54311.0,3101,37739.0,96373.0,0.0,1.0,1950.0,100000.0,4265.0,2015,4265.0,650.15,833,65.0
11193347,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34585014,-118162010,11975.0,261,60379104.01101,40227.0,3101,118208.0,97329.0,0.0,1.0,1950.0,100000.0,10.0,2015,10.0,650.15,705,65.0
11215747,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34563376,-118019104,9403.0,261,60379107.05102,40227.0,3101,118208.0,97330.0,0.0,1.0,1950.0,100000.0,10.0,2015,10.0,650.15,709,65.0
11229347,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,34526913,-118050581,3817.0,261,60379107.091112,40227.0,3101,118208.0,97330.0,0.0,1.0,1950.0,100000.0,2077.0,2015,2077.0,174.21,397,65.0
11287347,0.0,0.0,7.0,2.0,2760.0,1440.0,6037,2.0,2.0,34690736,-118135225,8856.0,31,60379008.061041,5534.0,3101,118208.0,97317.0,0.0,1.0,1949.0,32654.0,62424.0,2015,29770.0,2330.24,590,66.0
11288547,0.0,0.0,7.0,2.0,4000.0,4000.0,6037,2.0,2.0,34733960,-118139298,46526.0,260,60379003.001052,5534.0,3101,118208.0,97318.0,0.0,1.0,1956.0,56736.0,102385.0,2015,45649.0,4162.56,415,59.0
11324547,2.0,4.0,4.0,2.0,3633.0,3633.0,6037,2.0,2.0,34560018,-118169806,9826.0,261,60379102.0611,40227.0,3101,118208.0,97329.0,0.0,1.0,2005.0,218982.0,291973.0,2015,72991.0,6941.39,401,10.0
11391347,0.0,0.0,7.0,2.0,4053.0,1440.0,6037,2.0,2.0,33986910,-118329553,8050.0,31,60372347.003007,12447.0,3101,115729.0,96024.0,0.0,1.0,1957.0,197599.0,503752.0,2015,306153.0,6840.34,304,58.0
11395747,0.0,0.0,7.0,2.0,1442.0,1440.0,6037,2.0,2.0,33960238,-118319986,2904.0,31,60376008.012023,45888.0,3101,118208.0,96137.0,0.0,1.0,1950.0,35876.0,49928.0,2015,14052.0,1522.08,284,65.0
11404347,0.0,0.0,7.0,2.0,1936.0,1440.0,6037,2.0,2.0,33959896,-118350438,1821.0,31,60376010.012021,45888.0,3101,118208.0,96133.0,0.0,1.0,1939.0,69879.0,231720.0,2015,161841.0,3703.54,283,76.0
11405747,0.0,0.0,7.0,2.0,1606.0,1440.0,6037,2.0,7.0,33952952,-118361711,5231.0,31,60376014.021005,45888.0,3101,118208.0,96133.0,0.0,1.0,1926.0,41917.0,181667.0,2015,139750.0,2992.02,285,89.0
11417147,0.0,0.0,7.0,2.0,2820.0,1440.0,6037,2.0,2.0,33931500,-118352104,5934.0,31,60376021.031001,45888.0,3101,118208.0,96136.0,0.0,2.0,1938.0,44959.0,133717.0,2015,88758.0,2797.7,250,77.0
11457547,0.0,0.0,7.0,2.0,1440.0,1440.0,6037,2.0,2.0,33961232,-118385376,500.0,261,60372760.003,12447.0,3101,7877.0,96026.0,0.0,1.0,1950.0,100000.0,124.0,2015,124.0,650.15,320,65.0
11488147,4.0,5.0,4.0,4.0,2865.0,1440.0,6037,4.0,2.0,33879216,-118361434,4990.0,246,60376205.211004,33612.0,3101,118208.0,96124.0,0.0,2.0,1972.0,267623.0,818739.0,2015,551116.0,10455.41,792,43.0
11520747,0.0,0.0,7.0,2.0,6790.0,1440.0,6037,2.0,2.0,34016768,-118408671,10437.0,47,60377028.013006,51617.0,3101,762191.0,96097.0,0.0,1.0,1955.0,204800.0,786584.0,2015,581784.0,11304.81,116,60.0
11524947,2.0,2.0,4.0,2.0,1090.0,1090.0,6037,2.0,2.0,33974100,-118423000,40247.0,266,60372756.021009,12447.0,3101,13327.0,96072.0,0.0,1.0,2004.0,229399.0,352198.0,2015,122799.0,6165.36,305,11.0
